[Best: 0.4840939+0.0334204] Iteration 0001: 0.4840939+0.0334204 [Modulo=183; Transformer=257; Weights=0.045526+0.568255] ***
[Best: 0.4840939+0.0334204] Iteration 0002: 0.5083853+0.0172800 [Modulo=355; Transformer=187; Weights=-0.035267+0.557902] 
[Best: 0.4840939+0.0334204] Iteration 0003: 0.4952990+0.0133836 [Modulo=287; Transformer=075; Weights=0.026624+0.543081] 
[Best: 0.4840939+0.0334204] Iteration 0004: 0.5110317+0.0362506 [Modulo=329; Transformer=332; Weights=-0.022730+0.538545] 
[Best: 0.4840939+0.0334204] Iteration 0005: 0.4966600+0.0072369 [Modulo=297; Transformer=021; Weights=0.033390+0.610524] 
[Best: 0.4840939+0.0334204] Iteration 0006: 0.4972810+0.0033953 [Modulo=293; Transformer=034; Weights=-0.014249+0.578898] 
[Best: 0.4840939+0.0334204] Iteration 0007: 0.5147059+0.0291633 [Modulo=043; Transformer=314; Weights=-0.003964+0.619502] 
[Best: 0.4840939+0.0334204] Iteration 0008: 0.5119781+0.0318322 [Modulo=263; Transformer=347; Weights=0.035215+0.574897] 
[Best: 0.4840939+0.0334204] Iteration 0009: 0.4877789+0.0296053 [Modulo=039; Transformer=061; Weights=-0.056763+0.560345] 
[Best: 0.4840939+0.0334204] Iteration 0010: 0.5209618+0.0306620 [Modulo=251; Transformer=156; Weights=0.009402+0.582342] 
[Best: 0.4813075+0.0292852] Iteration 0011: 0.4813075+0.0292852 [Modulo=209; Transformer=025; Weights=-0.004275+0.613023] ***
[Best: 0.4813075+0.0292852] Iteration 0012: 0.4952931+0.0068713 [Modulo=125; Transformer=241; Weights=0.045738+0.542516] 
[Best: 0.4813075+0.0292852] Iteration 0013: 0.4888043+0.0347877 [Modulo=037; Transformer=074; Weights=-0.093661+0.610232] 
[Best: 0.4813075+0.0292852] Iteration 0014: 0.5056935+0.0194137 [Modulo=271; Transformer=091; Weights=-0.011947+0.555980] 
[Best: 0.4813075+0.0292852] Iteration 0015: 0.4877562+0.0335926 [Modulo=155; Transformer=096; Weights=-0.023710+0.602941] 
[Best: 0.4813075+0.0292852] Iteration 0016: 0.5055660+0.0293408 [Modulo=359; Transformer=055; Weights=0.015784+0.586340] 
[Best: 0.4813075+0.0292852] Iteration 0017: 0.5025879+0.0119834 [Modulo=325; Transformer=079; Weights=-0.006561+0.605437] 
[Best: 0.4813075+0.0292852] Iteration 0018: 0.4896333+0.0270804 [Modulo=217; Transformer=076; Weights=0.014926+0.572360] 
[Best: 0.4813075+0.0292852] Iteration 0019: 0.5037437+0.0137614 [Modulo=295; Transformer=009; Weights=-0.024863+0.570059] 
[Best: 0.4813075+0.0292852] Iteration 0020: 0.4971113+0.0086010 [Modulo=155; Transformer=234; Weights=-0.026849+0.593747] 
[Best: 0.4813075+0.0292852] Iteration 0021: 0.4840939+0.0334204 [Modulo=183; Transformer=257; Weights=0.045526+0.568255] 
[Best: 0.4813075+0.0292852] Iteration 0022: 0.5096536+0.0200100 [Modulo=355; Transformer=187; Weights=-0.039619+0.556472] 
[Best: 0.4813075+0.0292852] Iteration 0023: 0.4952990+0.0133836 [Modulo=287; Transformer=075; Weights=0.026624+0.543081] 
[Best: 0.4813075+0.0292852] Iteration 0024: 0.5111493+0.0364270 [Modulo=329; Transformer=332; Weights=-0.021721+0.537076] 
[Best: 0.4813075+0.0292852] Iteration 0025: 0.4936835+0.0058239 [Modulo=297; Transformer=021; Weights=0.027196+0.610597] 
[Best: 0.4813075+0.0292852] Iteration 0026: 0.4976861+0.0029444 [Modulo=293; Transformer=034; Weights=-0.011854+0.579987] 
[Best: 0.4813075+0.0292852] Iteration 0027: 0.5147059+0.0291633 [Modulo=043; Transformer=314; Weights=-0.003964+0.619502] 
[Best: 0.4813075+0.0292852] Iteration 0028: 0.5119781+0.0318322 [Modulo=263; Transformer=347; Weights=0.035215+0.574897] 
[Best: 0.4813075+0.0292852] Iteration 0029: 0.4877789+0.0296053 [Modulo=039; Transformer=061; Weights=-0.056763+0.560345] 
[Best: 0.4813075+0.0292852] Iteration 0030: 0.5209618+0.0306620 [Modulo=251; Transformer=156; Weights=0.009402+0.582342] 
[Best: 0.4813075+0.0292852] Iteration 0031: 0.4813075+0.0292852 [Modulo=209; Transformer=025; Weights=-0.004275+0.613023] ~~~
[Best: 0.4813075+0.0292852] Iteration 0032: 0.4943137+0.0052616 [Modulo=125; Transformer=241; Weights=0.042744+0.543020] 
[Best: 0.4813075+0.0292852] Iteration 0033: 0.5052501+0.0133432 [Modulo=249; Transformer=074; Weights=-0.026362+0.576531] 
[Best: 0.4813075+0.0292852] Iteration 0034: 0.5056935+0.0194137 [Modulo=271; Transformer=091; Weights=-0.011947+0.555980] 
[Best: 0.4813075+0.0292852] Iteration 0035: 0.4877562+0.0335926 [Modulo=155; Transformer=096; Weights=-0.023710+0.602941] 
[Best: 0.4813075+0.0292852] Iteration 0036: 0.5051083+0.0281109 [Modulo=359; Transformer=055; Weights=0.015584+0.586437] 
[Best: 0.4813075+0.0292852] Iteration 0037: 0.5009731+0.0093956 [Modulo=325; Transformer=079; Weights=-0.009088+0.603236] 
[Best: 0.4813075+0.0292852] Iteration 0038: 0.4896333+0.0270804 [Modulo=217; Transformer=076; Weights=0.014926+0.572360] 
[Best: 0.4813075+0.0292852] Iteration 0039: 0.5037437+0.0137614 [Modulo=295; Transformer=009; Weights=-0.024863+0.570059] 
[Best: 0.4813075+0.0292852] Iteration 0040: 0.4961157+0.0104015 [Modulo=155; Transformer=234; Weights=-0.022194+0.595233] 
Iteration: 1 bestvalit: 0.481308 bestmemit:    0.572196    0.064404    0.734909    0.630190    0.212768    0.564342   -0.748416   -0.653082   -0.742810    0.462979    0.628668   -0.772076    0.640435   -0.683041    0.302144   -0.691547   -0.965356    0.523344   -0.768363   -0.205015   -0.642428    0.214640    0.027013    0.867375    0.261502   -0.533266    0.189598    0.693833    0.701422   -0.255648    0.572758   -0.901508    0.903122   -0.075443    0.988348   -0.822986   -0.752224   -0.868593    0.793185    0.068405    0.657727   -0.536163    0.090130    0.967736   -0.342475   -0.955544    0.121977    0.534806    0.783038    0.986239   -0.619883   -0.992041   -0.725988   -0.905672   -0.487667   -0.815513   -0.131283   -0.525573    0.441726    0.435344    0.695973   -0.927818   -0.742727    0.196950   -0.513899   -0.596206   -0.685355    0.756065    0.318833    0.040656    0.727577   -0.605001    0.594514   -0.191379   -0.593944   -0.835964   -0.588809   -0.833339   -0.932320    0.148639    0.199567   -0.951851    0.783206    0.776595   -0.335001    0.495390   -0.627542    0.377753    0.545363    0.046679    0.919385    0.711052   -0.974064    0.653993    0.924772    0.779656   -0.385259    0.646145   -0.079355   -0.209312   -0.480652   -0.554594   -0.570364    0.314111    0.728821   -0.390488    0.941666   -0.936254   -0.946946   -0.349552    0.163025   -0.343053   -0.756149    0.987678   -0.829779   -0.056168    0.597111    0.465138    0.498291   -0.349046   -0.961620    0.365824   -0.781820    0.622984    0.916945    0.498731   -0.335965    0.508865    0.552696    0.886058    0.125211   -0.969401    0.210711    0.339735    0.690165    0.320024    0.179327    0.720694   -0.629361   -0.127350    0.977716    0.307041   -0.323797   -0.406280   -0.672100    0.098623   -0.267000    0.393079    0.691471    0.557686   -0.443704    0.967660    0.189230    0.304866   -0.981769   -0.818556    0.447767   -0.499045    0.969476    0.516347   -0.209509   -0.073433    0.857613    0.744122   -0.738154   -0.219882    0.021179    0.618672    0.654266    0.389619   -0.553080    0.068485    0.081198    0.105765   -0.028388    0.841361   -0.976644    0.091317    0.147851   -0.575434   -0.854312    0.575135   -0.907465   -0.906206    0.397624   -0.330336    0.137981   -0.259910   -0.734669    0.984309    0.262961   -0.651888   -0.922003   -0.038708   -0.409162    0.813418   -0.253782    0.097710   -0.814723   -0.288046   -0.301742    0.535658    0.079300    0.016950    0.231831    0.470883   -0.176334    0.691958   -0.810828   -0.356044    0.696401   -0.332214    0.045752    0.757812    0.678294   -0.746314   -0.497043   -0.239917    0.983902    0.132195   -0.398024   -0.688555    0.031156   -0.092901   -0.380186   -0.055282    0.809737    0.731572    0.297278   -0.038382   -0.001580    0.934556   -0.443736   -0.798889   -0.522733    0.086120   -0.550836    0.487191   -0.370713    0.115988    0.147944    0.831316    0.570111    0.012908    0.064129   -0.335582    0.307124   -0.759112   -0.195238    0.891240   -0.280018   -0.392274    0.437684   -0.078120    0.240972    0.467989   -0.472317    0.845804   -0.032221   -0.273950    0.378905   -0.817369   -0.545719   -0.899220    0.148875   -0.476203    0.554281    0.191258    0.738251    0.486379   -0.096116    0.380430    0.989527   -0.216895   -0.208563   -0.607846   -0.605253    0.518316   -0.764867   -0.247688    0.028975    0.138433    0.999125   -0.707601    0.557638    0.387011    0.795065   -0.223273   -0.778857   -0.746562   -0.563893    0.416263    0.923914    0.768251   -0.798409   -0.042869    0.721931   -0.862823   -0.035868    0.510682   -0.567765    0.099761   -0.749944   -0.588111   -0.204868   -0.410489   -0.861777   -0.518651   -0.643391    0.074976   -0.728549   -0.893239   -0.089930   -0.734042    0.920919    0.379747   -0.685112    0.875483   -0.519322    0.184195   -0.629782   -0.106083   -0.007830   -0.266198    0.456228   -0.887941    0.717667   -0.436742    0.425973    0.950937    0.842898    0.064078   -0.768794    0.796943    0.055367    0.684078    0.161876   -0.481565    0.687631   -0.972266    0.671349   -0.596119    0.406351    0.031550    0.102172   -0.469046    0.209300    0.862889   -0.526669    0.103703    0.564644    0.833013   -0.720113   -0.910173   -0.871680    0.515858   -0.848758    0.411471    0.267805    0.039976   -0.566097   -0.225101   -0.509091    0.322818    0.428270    0.729477    0.783717
[Best: 0.4813075+0.0292852] Iteration 0041: 0.4840315+0.0332535 [Modulo=183; Transformer=257; Weights=0.049092+0.567315] 
[Best: 0.4813075+0.0292852] Iteration 0042: 0.5082080+0.0168969 [Modulo=355; Transformer=187; Weights=-0.035053+0.557844] 
[Best: 0.4813075+0.0292852] Iteration 0043: 0.5001036+0.0050208 [Modulo=287; Transformer=075; Weights=0.015913+0.536189] 
[Best: 0.4813075+0.0292852] Iteration 0044: 0.5110089+0.0362870 [Modulo=329; Transformer=332; Weights=-0.022870+0.538562] 
[Best: 0.4813075+0.0292852] Iteration 0045: 0.4936835+0.0058239 [Modulo=297; Transformer=021; Weights=0.027196+0.610597] 
[Best: 0.4813075+0.0292852] Iteration 0046: 0.5002428+0.0048192 [Modulo=293; Transformer=034; Weights=-0.015502+0.581612] 
[Best: 0.4813075+0.0292852] Iteration 0047: 0.5144769+0.0288508 [Modulo=043; Transformer=314; Weights=-0.011858+0.614743] 
[Best: 0.4813075+0.0292852] Iteration 0048: 0.5119781+0.0318322 [Modulo=263; Transformer=347; Weights=0.035215+0.574897] 
[Best: 0.4813075+0.0292852] Iteration 0049: 0.4877789+0.0296053 [Modulo=039; Transformer=061; Weights=-0.056763+0.560345] 
[Best: 0.4813075+0.0292852] Iteration 0050: 0.5209414+0.0306036 [Modulo=251; Transformer=156; Weights=0.009764+0.582764] 
[Best: 0.4813075+0.0292852] Iteration 0051: 0.5176338+0.0306705 [Modulo=209; Transformer=025; Weights=0.002426+0.612566] 
[Best: 0.4813075+0.0292852] Iteration 0052: 0.4943137+0.0052616 [Modulo=125; Transformer=241; Weights=0.042744+0.543020] 
[Best: 0.4813075+0.0292852] Iteration 0053: 0.4888043+0.0347877 [Modulo=037; Transformer=074; Weights=-0.093661+0.610232] 
[Best: 0.4813075+0.0292852] Iteration 0054: 0.5081558+0.0247447 [Modulo=271; Transformer=091; Weights=-0.008273+0.559254] 
[Best: 0.4813075+0.0292852] Iteration 0055: 0.4877912+0.0333872 [Modulo=155; Transformer=096; Weights=-0.023816+0.600247] 
